datetime,db,rh
2023-01-01 01:00:00,3.5,75.0
2023-01-01 02:00:00,3.2,74.0
2023-01-01 03:00:00,3.4,71.0
2023-01-01 04:00:00,3.2,70.0
2023-01-01 05:00:00,1.8,81.0
2023-01-01 06:00:00,1.6,78.0
2023-01-01 07:00:00,1.3,78.0
2023-01-01 08:00:00,2.9,73.0
2023-01-01 09:00:00,6.4,60.0
2023-01-01 10:00:00,8.5,49.0
2023-01-01 11:00:00,10.9,47.0
2023-01-01 12:00:00,11.0,40.0
2023-01-01 13:00:00,11.9,34.0
2023-01-01 14:00:00,12.6,36.0
2023-01-01 15:00:00,11.0,47.0
2023-01-01 16:00:00,10.3,49.0
2023-01-01 17:00:00,8.3,61.0
2023-01-01 18:00:00,7.7,62.0
2023-01-01 19:00:00,7.5,66.0
2023-01-01 20:00:00,6.6,73.0
2023-01-01 21:00:00,6.8,73.0
2023-01-01 22:00:00,6.4,73.0
2023-01-01 23:00:00,6.2,59.0
2023-01-02 00:00:00,5.8,61.0
2023-01-02 01:00:00,5.5,64.0
2023-01-02 02:00:00,4.7,65.0
2023-01-02 03:00:00,3.8,71.0
2023-01-02 04:00:00,3.7,68.0
2023-01-02 05:00:00,2.6,76.0
2023-01-02 06:00:00,2.6,75.0
2023-01-02 07:00:00,3.2,71.0
2023-01-02 08:00:00,4.4,66.0
2023-01-02 09:00:00,6.3,56.0
2023-01-02 10:00:00,7.9,49.0
2023-01-02 11:00:00,9.5,47.0
2023-01-02 12:00:00,10.6,37.0
2023-01-02 13:00:00,11.4,35.0
2023-01-02 14:00:00,10.0,36.0
2023-01-02 15:00:00,9.8,33.0
2023-01-02 16:00:00,9.1,32.0
2023-01-02 17:00:00,8.1,32.0
2023-01-02 18:00:00,7.0,35.0
2023-01-02 19:00:00,6.5,39.0
2023-01-02 20:00:00,5.2,43.0
2023-01-02 21:00:00,4.8,45.0
2023-01-02 22:00:00,4.4,46.0
2023-01-02 23:00:00,4.5,46.0
2023-01-03 00:00:00,4.3,47.0
2023-01-03 01:00:00,3.9,50.0
2023-01-03 02:00:00,4.3,47.0
2023-01-03 03:00:00,3.2,49.0
2023-01-03 04:00:00,2.8,47.0
2023-01-03 05:00:00,1.9,48.0
2023-01-03 06:00:00,1.2,54.0
2023-01-03 07:00:00,0.9,53.0
2023-01-03 08:00:00,2.7,51.0
2023-01-03 09:00:00,6.1,37.0
2023-01-03 10:00:00,8.8,32.0
2023-01-03 11:00:00,9.1,30.0
2023-01-03 12:00:00,10.6,30.0
2023-01-03 13:00:00,10.3,28.0
2023-01-03 14:00:00,10.3,26.0
2023-01-03 15:00:00,9.4,29.0
2023-01-03 16:00:00,8.7,34.0
2023-01-03 17:00:00,5.7,45.0
2023-01-03 18:00:00,6.3,41.0
2023-01-03 19:00:00,6.2,37.0
2023-01-03 20:00:00,6.7,40.0
2023-01-03 21:00:00,5.3,45.0
2023-01-03 22:00:00,5.5,48.0
2023-01-03 23:00:00,4.5,53.0
2023-01-04 00:00:00,4.2,55.0
2023-01-04 01:00:00,4.1,56.0
2023-01-04 02:00:00,3.7,58.0
2023-01-04 03:00:00,3.3,59.0
2023-01-04 04:00:00,2.7,61.0
2023-01-04 05:00:00,2.1,63.0
2023-01-04 06:00:00,1.6,65.0
2023-01-04 07:00:00,1.8,62.0
2023-01-04 08:00:00,3.7,53.0
2023-01-04 09:00:00,6.1,43.0
2023-01-04 10:00:00,7.5,41.0
2023-01-04 11:00:00,8.6,37.0
2023-01-04 12:00:00,9.8,34.0
2023-01-04 13:00:00,10.1,31.0
2023-01-04 14:00:00,10.4,29.0
2023-01-04 15:00:00,9.3,34.0
2023-01-04 16:00:00,7.3,41.0
2023-01-04 17:00:00,7.4,35.0
2023-01-04 18:00:00,6.9,40.0
2023-01-04 19:00:00,6.1,42.0
2023-01-04 20:00:00,5.1,45.0
2023-01-04 21:00:00,4.0,49.0
2023-01-04 22:00:00,4.3,52.0
2023-01-04 23:00:00,4.5,50.0
2023-01-05 00:00:00,4.3,46.0
2023-01-05 01:00:00,4.5,41.0
2023-01-05 02:00:00,4.6,38.0
2023-01-05 03:00:00,4.1,41.0
2023-01-05 04:00:00,4.4,40.0
2023-01-05 05:00:00,4.1,40.0
2023-01-05 06:00:00,3.6,42.0
2023-01-05 07:00:00,3.2,45.0
2023-01-05 08:00:00,4.2,43.0
2023-01-05 09:00:00,6.3,35.0
2023-01-05 10:00:00,7.7,30.0
2023-01-05 11:00:00,9.0,30.0
2023-01-05 12:00:00,9.6,26.0
2023-01-05 13:00:00,10.0,23.0
2023-01-05 14:00:00,9.8,23.0
2023-01-05 15:00:00,8.9,27.0
2023-01-05 16:00:00,8.1,28.0
2023-01-05 17:00:00,7.1,30.0
2023-01-05 18:00:00,6.5,30.0
2023-01-05 19:00:00,5.5,35.0
2023-01-05 20:00:00,4.7,39.0
2023-01-05 21:00:00,4.7,40.0
2023-01-05 22:00:00,4.8,40.0
2023-01-05 23:00:00,3.7,45.0
2023-01-06 00:00:00,3.1,48.0
2023-01-06 01:00:00,3.1,48.0
2023-01-06 02:00:00,2.2,49.0
2023-01-06 03:00:00,1.7,50.0
2023-01-06 04:00:00,0.7,53.0
2023-01-06 05:00:00,1.7,50.0
2023-01-06 06:00:00,0.9,55.0
2023-01-06 07:00:00,0.8,55.0
2023-01-06 08:00:00,2.6,54.0
2023-01-06 09:00:00,3.7,52.0
2023-01-06 10:00:00,5.4,46.0
2023-01-06 11:00:00,6.4,43.0
2023-01-06 12:00:00,8.2,41.0
2023-01-06 13:00:00,8.9,35.0
2023-01-06 14:00:00,9.6,36.0
2023-01-06 15:00:00,9.1,37.0
2023-01-06 16:00:00,8.4,38.0
2023-01-06 17:00:00,7.8,41.0
2023-01-06 18:00:00,6.3,46.0
2023-01-06 19:00:00,7.3,44.0
2023-01-06 20:00:00,7.0,47.0
2023-01-06 21:00:00,6.6,51.0
2023-01-06 22:00:00,6.2,52.0
2023-01-06 23:00:00,6.4,50.0
2023-01-07 00:00:00,6.6,53.0
2023-01-07 01:00:00,5.4,59.0
2023-01-07 02:00:00,5.1,55.0
2023-01-07 03:00:00,4.5,58.0
2023-01-07 04:00:00,4.3,59.0
2023-01-07 05:00:00,4.4,60.0
2023-01-07 06:00:00,4.0,59.0
2023-01-07 07:00:00,3.6,61.0
2023-01-07 08:00:00,3.6,61.0
2023-01-07 09:00:00,5.2,57.0
2023-01-07 10:00:00,6.7,52.0
2023-01-07 11:00:00,7.7,49.0
2023-01-07 12:00:00,9.0,46.0
2023-01-07 13:00:00,9.5,47.0
2023-01-07 14:00:00,9.7,49.0
2023-01-07 15:00:00,9.5,52.0
2023-01-07 16:00:00,8.6,54.0
2023-01-07 17:00:00,6.1,64.0
2023-01-07 18:00:00,5.8,59.0
2023-01-07 19:00:00,5.7,58.0
2023-01-07 20:00:00,6.3,59.0
2023-01-07 21:00:00,5.3,74.0
2023-01-07 22:00:00,5.4,75.0
2023-01-07 23:00:00,5.2,77.0
2023-01-08 00:00:00,4.0,74.0
2023-01-08 01:00:00,3.3,75.0
2023-01-08 02:00:00,3.9,66.0
2023-01-08 03:00:00,3.2,70.0
2023-01-08 04:00:00,2.7,70.0
2023-01-08 05:00:00,2.2,70.0
2023-01-08 06:00:00,2.9,68.0
2023-01-08 07:00:00,3.5,65.0
2023-01-08 08:00:00,3.6,65.0
2023-01-08 09:00:00,5.8,60.0
2023-01-08 10:00:00,8.8,49.0
2023-01-08 11:00:00,10.9,44.0
2023-01-08 12:00:00,10.9,40.0
2023-01-08 13:00:00,11.6,38.0
2023-01-08 14:00:00,11.9,38.0
2023-01-08 15:00:00,11.1,42.0
2023-01-08 16:00:00,10.1,45.0
2023-01-08 17:00:00,7.3,55.0
2023-01-08 18:00:00,6.6,56.0
2023-01-08 19:00:00,6.6,54.0
2023-01-08 20:00:00,9.1,61.0
2023-01-08 21:00:00,8.7,63.0
2023-01-08 22:00:00,8.3,63.0
2023-01-08 23:00:00,8.0,62.0
2023-01-09 00:00:00,7.6,61.0
2023-01-09 01:00:00,6.5,63.0
2023-01-09 02:00:00,5.8,59.0
2023-01-09 03:00:00,5.6,57.0
2023-01-09 04:00:00,5.0,61.0
2023-01-09 05:00:00,4.7,63.0
2023-01-09 06:00:00,3.3,69.0
2023-01-09 07:00:00,3.0,71.0
2023-01-09 08:00:00,4.5,65.0
2023-01-09 09:00:00,6.4,56.0
2023-01-09 10:00:00,8.2,48.0
2023-01-09 11:00:00,11.4,45.0
2023-01-09 12:00:00,12.7,44.0
2023-01-09 13:00:00,13.1,43.0
2023-01-09 14:00:00,12.9,42.0
2023-01-09 15:00:00,12.1,52.0
2023-01-09 16:00:00,11.5,53.0
2023-01-09 17:00:00,9.8,64.0
2023-01-09 18:00:00,9.2,71.0
2023-01-09 19:00:00,8.2,77.0
2023-01-09 20:00:00,8.8,69.0
2023-01-09 21:00:00,7.8,72.0
2023-01-09 22:00:00,6.5,82.0
2023-01-09 23:00:00,7.8,71.0
2023-01-10 00:00:00,7.4,65.0
2023-01-10 01:00:00,8.3,52.0
2023-01-10 02:00:00,7.3,52.0
2023-01-10 03:00:00,6.9,55.0
2023-01-10 04:00:00,6.7,52.0
2023-01-10 05:00:00,5.9,49.0
2023-01-10 06:00:00,5.7,43.0
2023-01-10 07:00:00,5.5,41.0
2023-01-10 08:00:00,5.6,42.0
2023-01-10 09:00:00,6.6,39.0
2023-01-10 10:00:00,8.1,33.0
2023-01-10 11:00:00,8.5,28.0
2023-01-10 12:00:00,9.3,26.0
2023-01-10 13:00:00,8.9,31.0
2023-01-10 14:00:00,8.7,32.0
2023-01-10 15:00:00,7.5,34.0
2023-01-10 16:00:00,6.6,37.0
2023-01-10 17:00:00,6.0,39.0
2023-01-10 18:00:00,5.3,42.0
2023-01-10 19:00:00,4.9,44.0
2023-01-10 20:00:00,4.6,45.0
2023-01-10 21:00:00,4.5,44.0
2023-01-10 22:00:00,3.3,49.0
2023-01-10 23:00:00,4.0,47.0
2023-01-11 00:00:00,3.3,50.0
2023-01-11 01:00:00,3.4,49.0
2023-01-11 02:00:00,2.1,53.0
2023-01-11 03:00:00,2.3,53.0
2023-01-11 04:00:00,3.0,50.0
2023-01-11 05:00:00,2.6,53.0
2023-01-11 06:00:00,2.9,52.0
2023-01-11 07:00:00,1.9,60.0
2023-01-11 08:00:00,2.7,57.0
2023-01-11 09:00:00,4.5,51.0
2023-01-11 10:00:00,5.7,48.0
2023-01-11 11:00:00,7.9,40.0
2023-01-11 12:00:00,8.8,36.0
2023-01-11 13:00:00,10.1,36.0
2023-01-11 14:00:00,10.1,32.0
2023-01-11 15:00:00,9.7,40.0
2023-01-11 16:00:00,9.0,44.0
2023-01-11 17:00:00,6.6,53.0
2023-01-11 18:00:00,5.8,55.0
2023-01-11 19:00:00,6.0,56.0
2023-01-11 20:00:00,5.2,64.0
2023-01-11 21:00:00,5.2,70.0
2023-01-11 22:00:00,5.4,60.0
2023-01-11 23:00:00,4.4,65.0
2023-01-12 00:00:00,4.1,64.0
2023-01-12 01:00:00,3.2,66.0
2023-01-12 02:00:00,2.8,64.0
2023-01-12 03:00:00,3.5,57.0
2023-01-12 04:00:00,2.4,62.0
2023-01-12 05:00:00,2.1,67.0
2023-01-12 06:00:00,1.7,68.0
2023-01-12 07:00:00,1.6,70.0
2023-01-12 08:00:00,2.6,63.0
2023-01-12 09:00:00,5.0,57.0
2023-01-12 10:00:00,7.3,48.0
2023-01-12 11:00:00,8.0,44.0
2023-01-12 12:00:00,10.1,39.0
2023-01-12 13:00:00,11.8,31.0
2023-01-12 14:00:00,12.0,28.0
2023-01-12 15:00:00,11.4,29.0
2023-01-12 16:00:00,10.3,33.0
2023-01-12 17:00:00,8.3,37.0
2023-01-12 18:00:00,6.9,44.0
2023-01-12 19:00:00,6.7,48.0
2023-01-12 20:00:00,6.1,61.0
2023-01-12 21:00:00,6.5,63.0
2023-01-12 22:00:00,6.1,61.0
2023-01-12 23:00:00,5.8,55.0
2023-01-13 00:00:00,5.3,60.0
2023-01-13 01:00:00,5.0,59.0
2023-01-13 02:00:00,5.0,59.0
2023-01-13 03:00:00,4.6,62.0
2023-01-13 04:00:00,3.7,67.0
2023-01-13 05:00:00,4.1,64.0
2023-01-13 06:00:00,3.3,66.0
2023-01-13 07:00:00,3.7,64.0
2023-01-13 08:00:00,4.9,60.0
2023-01-13 09:00:00,6.9,53.0
2023-01-13 10:00:00,9.6,48.0
2023-01-13 11:00:00,11.0,39.0
2023-01-13 12:00:00,12.2,39.0
2023-01-13 13:00:00,13.6,45.0
2023-01-13 14:00:00,12.6,56.0
2023-01-13 15:00:00,12.1,55.0
2023-01-13 16:00:00,11.6,57.0
2023-01-13 17:00:00,10.3,62.0
2023-01-13 18:00:00,10.2,67.0
2023-01-13 19:00:00,10.4,63.0
2023-01-13 20:00:00,10.8,61.0
2023-01-13 21:00:00,9.3,72.0
2023-01-13 22:00:00,9.1,74.0
2023-01-13 23:00:00,10.3,75.0
2023-01-14 00:00:00,13.8,71.0
2023-01-14 01:00:00,13.3,69.0
2023-01-14 02:00:00,13.8,68.0
2023-01-14 03:00:00,13.2,70.0
2023-01-14 04:00:00,9.5,75.0
2023-01-14 05:00:00,8.8,78.0
2023-01-14 06:00:00,8.2,77.0
2023-01-14 07:00:00,7.5,76.0
2023-01-14 08:00:00,8.4,75.0
2023-01-14 09:00:00,8.6,74.0
2023-01-14 10:00:00,9.3,70.0
2023-01-14 11:00:00,9.1,71.0
2023-01-14 12:00:00,8.7,91.0
2023-01-14 13:00:00,8.6,90.0
2023-01-14 14:00:00,9.2,86.0
2023-01-14 15:00:00,9.2,93.0
2023-01-14 16:00:00,9.2,91.0
2023-01-14 17:00:00,8.9,96.0
2023-01-14 18:00:00,9.2,94.0
2023-01-14 19:00:00,8.7,95.0
2023-01-14 20:00:00,9.6,82.0
2023-01-14 21:00:00,8.7,85.0
2023-01-14 22:00:00,9.7,80.0
2023-01-14 23:00:00,8.5,88.0
2023-01-15 00:00:00,9.7,79.0
2023-01-15 01:00:00,10.0,80.0
2023-01-15 02:00:00,11.2,75.0
2023-01-15 03:00:00,10.7,80.0
2023-01-15 04:00:00,11.3,84.0
2023-01-15 05:00:00,11.6,80.0
2023-01-15 06:00:00,11.3,82.0
2023-01-15 07:00:00,11.2,79.0
2023-01-15 08:00:00,11.5,77.0
2023-01-15 09:00:00,11.5,75.0
2023-01-15 10:00:00,11.5,77.0
2023-01-15 11:00:00,11.5,74.0
2023-01-15 12:00:00,11.6,72.0
2023-01-15 13:00:00,11.7,72.0
2023-01-15 14:00:00,11.7,72.0
2023-01-15 15:00:00,11.1,78.0
2023-01-15 16:00:00,10.3,84.0
2023-01-15 17:00:00,10.1,87.0
2023-01-15 18:00:00,8.8,94.0
2023-01-15 19:00:00,8.3,97.0
2023-01-15 20:00:00,8.1,97.0
2023-01-15 21:00:00,8.0,98.0
2023-01-15 22:00:00,8.1,98.0
2023-01-15 23:00:00,8.0,99.0
2023-01-16 00:00:00,7.7,99.0
2023-01-16 01:00:00,7.4,99.0
2023-01-16 02:00:00,7.2,99.0
2023-01-16 03:00:00,7.1,99.0
2023-01-16 04:00:00,7.0,99.0
2023-01-16 05:00:00,6.7,99.0
2023-01-16 06:00:00,6.7,99.0
2023-01-16 07:00:00,6.8,98.0
2023-01-16 08:00:00,6.9,98.0
2023-01-16 09:00:00,7.0,96.0
2023-01-16 10:00:00,7.2,98.0
2023-01-16 11:00:00,7.1,98.0
2023-01-16 12:00:00,7.0,98.0
2023-01-16 13:00:00,6.7,96.0
2023-01-16 14:00:00,6.6,96.0
2023-01-16 15:00:00,6.5,97.0
2023-01-16 16:00:00,6.1,94.0
2023-01-16 17:00:00,5.7,94.0
2023-01-16 18:00:00,5.5,88.0
2023-01-16 19:00:00,5.2,90.0
2023-01-16 20:00:00,5.4,79.0
2023-01-16 21:00:00,5.5,61.0
2023-01-16 22:00:00,5.3,57.0
2023-01-16 23:00:00,4.6,61.0
2023-01-17 00:00:00,4.9,57.0
2023-01-17 01:00:00,5.0,54.0
2023-01-17 02:00:00,4.6,53.0
2023-01-17 03:00:00,3.9,53.0
2023-01-17 04:00:00,3.7,54.0
2023-01-17 05:00:00,3.3,59.0
2023-01-17 06:00:00,2.9,65.0
2023-01-17 07:00:00,3.0,61.0
2023-01-17 08:00:00,3.6,61.0
2023-01-17 09:00:00,4.1,56.0
2023-01-17 10:00:00,4.8,55.0
2023-01-17 11:00:00,5.2,56.0
2023-01-17 12:00:00,5.5,48.0
2023-01-17 13:00:00,6.6,49.0
2023-01-17 14:00:00,6.7,52.0
